module,type,name,res_id,src,value
openacademy,model,"ir.actions.act_window,help",openacademy.course_list_action,"<p class=""oe_view_nocontent_create"">
                    Créer votre premier Cour
                </p>
            ","<p class=""oe_view_nocontent_create"">
                    Créer votre premier Cour
                </p>
            "
openacademy,field,"openacademy.session,active",0,Active,Active
openacademy,model,"ir.actions.act_window,name",openacademy.launch_session_wizard,Ajouter Participants,Ajouter Participants
openacademy,view,openacademy.wizard,openacademy.wizard_form_view,Ajouter Participants,Ajouter Participants
openacademy,view,openacademy.session,openacademy.session_calendar_view,Calendrier des Sessions,Calendrier des Sessions
openacademy,view,openacademy.wizard,openacademy.wizard_form_view,Cancel,Cancel
openacademy,field,"openacademy.session,color",0,Color,Color
openacademy,model,"ir.ui.menu,name",openacademy.configuration_menu,Configuration,الإعدادات
openacademy,view,openacademy.session,openacademy.session_form_view,Confirm,Confirm
openacademy,selection,"openacademy.session,state",0,Confirmed,Confirmed
openacademy,model,"ir.actions.act_window,name",openacademy.contact_list_action,Contact Tags,Contact Tags
openacademy,model,"ir.ui.menu,name",openacademy.contact_cat_menu,Contact Tags,Contact Tags
openacademy,model,"ir.ui.menu,name",openacademy.contact_menu,Contacts,Contacts
openacademy,model,"ir.actions.act_window,name",openacademy.contact_cat_list_action,Contacts Tags,Contacts Tags
openacademy,field,"openacademy.session,cour_id",0,Cour,Cour
openacademy,model,"ir.actions.act_window,name",openacademy.course_list_action,Cours,Cours
openacademy,model,"ir.ui.menu,name",openacademy.courses_menu,Cours,Cours
openacademy,field,"openacademy.course,create_uid",0,Created by,Created by
openacademy,field,"openacademy.session,create_uid",0,Created by,Created by
openacademy,field,"openacademy.wizard,create_uid",0,Created by,Created by
openacademy,field,"openacademy.course,create_date",0,Created on,Created on
openacademy,field,"openacademy.session,create_date",0,Created on,Created on
openacademy,field,"openacademy.wizard,create_date",0,Created on,Created on
openacademy,field,"openacademy.session,date_debut",0,Date Début,Date Début
openacademy,field,"openacademy.session,date_fin",0,Date Fin,Date Fin
openacademy,view,openacademy.session,openacademy.session_kanban_view,Date de Début:,Date de Début:
openacademy,view,openacademy.session,openacademy.session_kanban_view,Delete,Delete
openacademy,view,openacademy.course,openacademy.course_form_view,Description,Description
openacademy,field,"openacademy.course,description",0,Description,Description
openacademy,field,"openacademy.course,display_name",0,Display Name,Display Name
openacademy,field,"openacademy.session,display_name",0,Display Name,Display Name
openacademy,field,"openacademy.wizard,display_name",0,Display Name,Display Name
openacademy,selection,"openacademy.session,state",0,Done,Done
openacademy,selection,"openacademy.session,state",0,Draft,Draft
openacademy,field,"openacademy.session,duree",0,Duree,Duree
openacademy,field,"openacademy.session,heures",0,Durée en Heure,Durée en Heure
openacademy,help,"openacademy.session,duree",0,Durée pour un jour,Durée pour un jour
openacademy,view,openacademy.session,openacademy.session_kanban_view,Durée:,Durée:
openacademy,view,openacademy.course,openacademy.course_form_view,Fomulaire de Cours,Fomulaire de Cours
openacademy,view,openacademy.session,openacademy.session_gantt_view,Gantt de Session,Gantt de Session
openacademy,view,openacademy.session,openacademy.session_form_view,General,General
openacademy,view,openacademy.course,openacademy.course_search_view,Group By,Group By
openacademy,field,"openacademy.course,id",0,ID,ID
openacademy,field,"openacademy.session,id",0,ID,ID
openacademy,field,"openacademy.wizard,id",0,ID,ID
openacademy,field,"openacademy.session,instructeur_id",0,Instructeur,Instructeur
openacademy,field,"res.partner,instructeur",0,Instructeur,Instructeur
openacademy,field,"openacademy.course,__last_update",0,Last Modified on,Last Modified on
openacademy,field,"openacademy.session,__last_update",0,Last Modified on,Last Modified on
openacademy,field,"openacademy.wizard,__last_update",0,Last Modified on,Last Modified on
openacademy,field,"openacademy.course,write_uid",0,Last Updated by,Last Updated by
openacademy,field,"openacademy.session,write_uid",0,Last Updated by,Last Updated by
openacademy,field,"openacademy.wizard,write_uid",0,Last Updated by,Last Updated by
openacademy,field,"openacademy.course,write_date",0,Last Updated on,Last Updated on
openacademy,field,"openacademy.session,write_date",0,Last Updated on,Last Updated on
openacademy,field,"openacademy.wizard,write_date",0,Last Updated on,Last Updated on
openacademy,sql_constraint,openacademy.course,0,Le titlre du cour êxistant,Le titlre du cour êxistant
